gene	n_psych_associations	psych_mapped_traits	disease_trait_labels	efo_uris	pubmed_ids	study_accessions
ARHGAP22 - WDFY4	1	depressive symptom measurement, response to antidepressant	Response to antidepressants (symptom improvement) in major depressive disorder	http://www.ebi.ac.uk/efo/EFO_0007006, http://purl.obolibrary.org/obo/GO_0036276	35712048	GCST90244578
ARHGAP25	2	nicotine dependence; trait in response to escitalopram, total cholesterol measurement, trait in response to citalopram	Nicotine dependence; Total cholesterol levels x SSRI levels (escitalopram or citalopram) interaction in schizophrenia or bipolar disorder	http://purl.obolibrary.org/obo/OBA_2040055, http://www.ebi.ac.uk/efo/EFO_0004574, http://purl.obolibrary.org/obo/OBA_2040057; http://www.ebi.ac.uk/efo/EFO_0003768	33144568; 33824429	GCST011754; GCST012318
ARHGAP26	1	suicide behaviour measurement	Suicide attempt severity in mood disorders	http://www.ebi.ac.uk/efo/EFO_0006882	33783297	GCST012279
ARHGAP26 - NR3C1	1	response to ketamine	Response to esketamine in treatment resistant depression	http://www.ebi.ac.uk/efo/EFO_0009748	32724131	GCST011398
ARHGAP27	1	Anxiety	Worry	http://purl.obolibrary.org/obo/HP_0000739	29942085	GCST006478
ARHGAP28	1	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	35396580	GCST90128471
ARHGAP31	1	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	23894747	GCST001851
ARHGAP39	2	attention deficit hyperactivity disorder; attention deficit hyperactivity disorder, risk-taking behaviour	Attention deficit hyperactivity disorder; Attention deficit hyperactivity disorder or risk-taking behavior (pleiotropy)	http://www.ebi.ac.uk/efo/EFO_0003888; http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0008579	36702997; 38565336	GCST90269774; GCST90429151
ARHGAP40	2	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	26198764; 35396580	GCST003048; GCST90128471
ARHGAP44	2	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	35396580; 39753749	GCST90128471; GCST90503210
ARHGAP45	1	age of onset of depressive disorder, wellbeing measurement	Age of onset of depression x felt loved as a child interaction	http://purl.obolibrary.org/obo/OBA_2040166, http://www.ebi.ac.uk/efo/EFO_0007869	35879288	GCST90132316
ARHGAP8	3	binge eating; major depressive disorder	Binge eating behaviour in bipolar disorder; Major depressive disorder	http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0005924	24882193; 27777418; 29391396	GCST002420; GCST005387; GCST005547
ARHGEF10	2	major depressive disorder; schizophrenia	Clinical depression; Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0002009; http://purl.obolibrary.org/obo/MONDO_0005090	34586374; 35396580	GCST90058035; GCST90128471
ARHGEF10L	2	initial pursuit acceleration; sex interaction measurement, major depressive disorder	Initial pursuit acceleration in psychotic disorders; Major depressive disorder x sex interaction	http://www.ebi.ac.uk/efo/EFO_0008343, http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0008434	29064472; 34099189	GCST005026; GCST012305
ARHGEF12	1	ADHD symptom measurement	Attention deficit hyperactivity disorder symptom score	http://www.ebi.ac.uk/efo/EFO_0007860	27663945	GCST003657
ARHGEF15	1	bipolar disorder	Bipolar disorder	http://purl.obolibrary.org/obo/MONDO_0004985	28115744	GCST004139
ARHGEF26	1	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	26198764	GCST003048
ARHGEF28	1	trait in response to paliperidone, schizophrenia symptom severity measurement	Response to paliperidone in schizophrenia (PANSS score)	http://purl.obolibrary.org/obo/OBA_2040132, http://www.ebi.ac.uk/efo/EFO_0007927	27846195	GCST004042
ARHGEF37 - U3	1	major depressive disorder	Major depressive disorder	http://purl.obolibrary.org/obo/MONDO_0002009	23377640	GCST001850
ARHGEF6 - RPL7P56	1	autism spectrum disorder	Autism spectrum disorder	http://www.ebi.ac.uk/efo/EFO_0003756	34069769	GCST012466
ARID1B	3	attention deficit hyperactivity disorder, autism spectrum disorder, intelligence; schizophrenia; social inhibition quality, attention deficit hyperactivity disorder, substance abuse	Attention deficit hyperactivity disorder or autism spectrum disorder or intelligence (pleiotropy); Externalizing behaviour (multivariate analysis); Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090; http://purl.obolibrary.org/obo/OBA_1000278, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0002491; http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0003756, http://www.ebi.ac.uk/efo/EFO_0004337	34446935; 35396580; 35764056	GCST90061435; GCST90128471; GCST90134330
ARID4A	1	social inhibition quality, attention deficit hyperactivity disorder, substance abuse	Externalizing behaviour (multivariate analysis)	http://purl.obolibrary.org/obo/OBA_1000278, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0002491	34446935	GCST90061435
ARID4B	1	psychotic symptoms	Psychosis in Alzheimer's disease	http://www.ebi.ac.uk/efo/EFO_0005940	34112972	GCST90020050
ARID5B	2	attention deficit hyperactivity disorder, schizophrenia; social inhibition quality, attention deficit hyperactivity disorder, substance abuse	Externalizing behaviour (multivariate analysis); Schizophrenia vs ADHD (ordinary least squares (OLS))	http://purl.obolibrary.org/obo/OBA_1000278, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0002491; http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0005090	33686288; 34446935	GCST90016618; GCST90061435
ARID5B - RTKN2	1	response to haloperidol	Response to haloperidol in psychosis	http://purl.obolibrary.org/obo/GO_1905119	24751813	GCST002465
ARIH2	2	schizophrenia, inflammatory bowel disease; substance-related disorder	Inflammatory bowel disease or anorexia nervosa (pleiotropy); Substance use disorder	http://purl.obolibrary.org/obo/MONDO_0002494; http://purl.obolibrary.org/obo/MONDO_0005090, http://www.ebi.ac.uk/efo/EFO_0003767	36753304; 41057643	GCST90271324; GCST90704949
ARIH2P1 - RNU6-408P	9	anxiety disorder; behavior trait, personality trait; bipolar disorder; depressive symptom measurement; major depressive disorder; post-traumatic stress disorder; schizophrenia, intelligence, self reported educational attainment	Anxiety disorder; Bipolar disorder; Cognitive ability, years of educational attainment or schizophrenia (pleiotropy); Depression; Depressive symptoms; Post-traumatic stress disorder; Temperament (bipolar disorder)	http://purl.obolibrary.org/obo/MONDO_0002009; http://purl.obolibrary.org/obo/MONDO_0004985; http://purl.obolibrary.org/obo/MONDO_0005090, http://www.ebi.ac.uk/efo/EFO_0004337, http://www.ebi.ac.uk/efo/EFO_0004784; http://purl.obolibrary.org/obo/OBA_VT0010442, http://www.ebi.ac.uk/efo/EFO_0004365; http://www.ebi.ac.uk/efo/EFO_0001358; http://www.ebi.ac.uk/efo/EFO_0006788; http://www.ebi.ac.uk/efo/EFO_0007006	22365631; 30643256; 31043756; 31374203; 34586374; 37945807; 38637617	GCST001419; GCST007340; GCST008103; GCST008595; GCST90058037; GCST90446654; GCST90627735; GCST90627736
ARL14EP - RPL12P30	1	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	26198764	GCST003048
ARL14EP-DT	4	attention deficit hyperactivity disorder, obsessive-compulsive symptom measurement, type 2 diabetes mellitus; autism spectrum disorder, schizophrenia; drug dependence; schizophrenia	Schizophrenia; Schizophrenia vs autism spectrum disorder (ordinary least squares (OLS)); Stimulant dependence; Type 2 diabetes and Attention deficit hiperactivty disorder or obsessive compulsive disorder	http://purl.obolibrary.org/obo/MONDO_0005090; http://www.ebi.ac.uk/efo/EFO_0003756, http://purl.obolibrary.org/obo/MONDO_0005090; http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0007802, http://purl.obolibrary.org/obo/MONDO_0005148; http://www.ebi.ac.uk/efo/EFO_0003890	33686288; 34226506; 35396580; 36738649	GCST90016620; GCST90026486; GCST90128471; GCST90624675
ARL15	2	age at onset, alcohol dependence; schizophrenia, type 2 diabetes mellitus	Alcohol dependence (age at onset); Type 2 diabetes and schyzophrenia	http://purl.obolibrary.org/obo/MONDO_0005090, http://purl.obolibrary.org/obo/MONDO_0005148; http://www.ebi.ac.uk/efo/EFO_0004847, http://purl.obolibrary.org/obo/MONDO_0007079	24962325; 36738649	GCST002477; GCST90624670
ARL17A	1	post-traumatic stress disorder symptom measurement	Post-traumatic stress disorder symptom severity (avoidance)	http://www.ebi.ac.uk/efo/EFO_0008535	33510476	GCST90271780
ARL2BPP1 - CCND3P2	1	response to lithium ion	Subjective response to lithium treatment in bipolar disorder	http://purl.obolibrary.org/obo/GO_0010226	26503763	GCST003160
ARL2BPP4 - HINT1	1	attention deficit hyperactivity disorder, bipolar disorder, autism spectrum disorder, schizophrenia, major depressive disorder	Autism spectrum disorder, attention deficit-hyperactivity disorder, bipolar disorder, major depressive disorder, and schizophrenia (combined)	http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0004985, http://www.ebi.ac.uk/efo/EFO_0003756, http://purl.obolibrary.org/obo/MONDO_0005090, http://purl.obolibrary.org/obo/MONDO_0002009	23453885	GCST001877
ARL2BPP5 - MRPL57P6	1	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	35396580	GCST90128471
ARL2BPP7 - RNU6-329P	1	response to clozapine	Response to antipsychotic treatment	http://purl.obolibrary.org/obo/GO_0097338	20195266	GCST000618
ARL3	2	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	27922604; 35396580	GCST003880; GCST90128471
ARL4C - LINC01173	1	anxiety measurement, non-high density lipoprotein cholesterol measurement	HDL x anxiety interaction (2df test)	http://www.ebi.ac.uk/efo/EFO_0009863, http://www.ebi.ac.uk/efo/EFO_0005689	40537477	GCST90570695
ARL5B	1	attempted suicide	Suicide attempts in major depressive disorder	http://www.ebi.ac.uk/efo/EFO_0004321	31164008	GCST008118
ARL6IP1P3 - LINC02720	1	trait in response to escitalopram, trait in response to citalopram, mood disorder, major depressive disorder	Response to citalopram or escitalopram and depression	http://purl.obolibrary.org/obo/OBA_2040055, http://purl.obolibrary.org/obo/OBA_2040057, http://www.ebi.ac.uk/efo/EFO_0004247, http://purl.obolibrary.org/obo/MONDO_0002009	27622933	GCST003811
ARLNC1	1	age at onset, major depressive disorder	Depression (age of onset)	http://www.ebi.ac.uk/efo/EFO_0004847, http://purl.obolibrary.org/obo/MONDO_0002009	35330412	GCST90104443
ARMC10P1 - WDR82P1	3	anorexia nervosa; anorexia nervosa, major depressive disorder	Anorexia nervosa; Major depressive disorder vs anorexia nervosa (ordinary least squares (OLS)); Typical-onset anorexia nervosa	http://purl.obolibrary.org/obo/MONDO_0005351; http://purl.obolibrary.org/obo/MONDO_0005351, http://purl.obolibrary.org/obo/MONDO_0002009	31308545; 33686288; 36324647	GCST008465; GCST90016613; GCST90239647
ARMC12 - CMPK1P1	1	herpes virus seropositivity, major depressive disorder	Depression x herpes simplex 1 infection interaction	http://www.ebi.ac.uk/efo/EFO_0007036, http://purl.obolibrary.org/obo/MONDO_0002009	32564518	GCST010561
ARMC2	1	attention deficit hyperactivity disorder	Attention deficit hyperactivity disorder	http://www.ebi.ac.uk/efo/EFO_0003888	40962958	GCST90568440
ARMH3	1	lifestyle measurement, anxiety disorder measurement	Anxiety severity x playing computer games interaction	http://www.ebi.ac.uk/efo/EFO_0010724, http://www.ebi.ac.uk/efo/EFO_0007795	34877740	GCST90101757
ARMH4	5	depressive symptom measurement, stressful life event measurement; substance-related disorder	Depressive symptoms x independent stressful life events interaction (1df test); Substance use disorder	http://purl.obolibrary.org/obo/MONDO_0002494; http://www.ebi.ac.uk/efo/EFO_0007006, http://www.ebi.ac.uk/efo/EFO_0007781	30718454; 41057643	GCST007412; GCST90704949; GCST90704952; GCST90704953; GCST90704954
ARNILA	2	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	26198764; 35396580	GCST003048; GCST90128471
ARNT2	1	insomnia, response to selective serotonin reuptake inhibitor	SSRI response to insomnia syndromal factor measured by HAM-D-21 in major depressive disorder	http://www.ebi.ac.uk/efo/EFO_0004698, http://www.ebi.ac.uk/efo/EFO_0005658	36658263	GCST90270297
ARNT2-DT	3	attention deficit hyperactivity disorder; bipolar disorder	Attention deficit hyperactivity disorder; Bipolar disorder	http://purl.obolibrary.org/obo/MONDO_0004985; http://www.ebi.ac.uk/efo/EFO_0003888	18711365; 20351715; 29325848	GCST000220; GCST006865; GCST012597
ARPC3 - GPN3	1	schizophrenia, obesity	Obesity class II and Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090, http://www.ebi.ac.uk/efo/EFO_0001073	36137488	GCST90624549
ARPC5L	1	substance-related disorder	Substance use disorder	http://purl.obolibrary.org/obo/MONDO_0002494	41057643	GCST90704953
ARPIN	1	anxiety measurement, environmental factor	Monozygotic twin difference score for anxiety symptoms	http://www.ebi.ac.uk/efo/EFO_0009863, http://www.ebi.ac.uk/efo/EFO_0000469	40494901	GCST90642413
ARPIN-AP3S2	2	anxiety measurement, environmental factor; schizophrenia, type 2 diabetes mellitus	Monozygotic twin difference score for anxiety symptoms; Type 2 diabetes and schyzophrenia	http://purl.obolibrary.org/obo/MONDO_0005090, http://purl.obolibrary.org/obo/MONDO_0005148; http://www.ebi.ac.uk/efo/EFO_0009863, http://www.ebi.ac.uk/efo/EFO_0000469	36738649; 40494901	GCST90624670; GCST90642413
ARPP21	4	attention deficit hyperactivity disorder, autism spectrum disorder, intelligence; mood disorder, major depressive disorder; neurotic disorder; social inhibition quality, attention deficit hyperactivity disorder, substance abuse	Attention deficit hyperactivity disorder or autism spectrum disorder or intelligence (pleiotropy); Depressed affect; Externalizing behaviour (multivariate analysis); Neuroticism	http://purl.obolibrary.org/obo/OBA_1000278, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0002491; http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0003756, http://www.ebi.ac.uk/efo/EFO_0004337; http://www.ebi.ac.uk/efo/EFO_0004247, http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0004257	29942085; 32231276; 34446935; 35764056	GCST006475; GCST010017; GCST90061435; GCST90134330
ARRDC3-AS1 - PCBP2P3	2	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	35396580; 39753749	GCST90128471; GCST90503210
ARRDC4 - LINC02251	1	neurotic disorder	Neuroticism	http://www.ebi.ac.uk/efo/EFO_0004257	20634892	GCST004569
ARSA - Y_RNA	2	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	35396580; 39753749	GCST90128471; GCST90503210
ARSB	3	attention deficit hyperactivity disorder; depressive symptom measurement, response to antidepressant; major depressive disorder	Attention deficit hyperactivity disorder; Clinical depression; Depressive symptom improvement	http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0003888; http://www.ebi.ac.uk/efo/EFO_0007006, http://purl.obolibrary.org/obo/GO_0036276	23728934; 30468137; 34586374	GCST002048; GCST007666; GCST90058035
ARSG	1	bipolar disorder, cytomegalovirus seropositivity	Bipolar disorder (inflammation and infection response interaction)	http://purl.obolibrary.org/obo/MONDO_0004985, http://www.ebi.ac.uk/efo/EFO_0007037	25781172	GCST002815
ARSJ - UGT8	1	exploratory eye movement measurement	Exploratory eye movement dysfunction in schizophrenia (number of eye fixations)	http://www.ebi.ac.uk/efo/EFO_0007700	26242244	GCST003068
ARVCF	1	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	35396580	GCST90128471
AS3MT	14	Anxiety; anxiety measurement; attention deficit hyperactivity disorder, bipolar disorder, autism spectrum disorder, schizophrenia, major depressive disorder; attention deficit hyperactivity disorder, schizophrenia; autism spectrum disorder, schizophrenia; schizophrenia; schizophrenia, intelligence, self reported educational attainment	Anxiety; Autism spectrum disorder, attention deficit-hyperactivity disorder, bipolar disorder, major depressive disorder, and schizophrenia (combined); Cognitive ability, years of educational attainment or schizophrenia (pleiotropy); Schizophrenia; Schizophrenia (MTAG); Schizophrenia vs ADHD (ordinary least squares (OLS)); Schizophrenia vs autism spectrum disorder (ordinary least squares (OLS)); Worry	http://purl.obolibrary.org/obo/HP_0000739; http://purl.obolibrary.org/obo/MONDO_0005090; http://purl.obolibrary.org/obo/MONDO_0005090, http://www.ebi.ac.uk/efo/EFO_0004337, http://www.ebi.ac.uk/efo/EFO_0004784; http://www.ebi.ac.uk/efo/EFO_0003756, http://purl.obolibrary.org/obo/MONDO_0005090; http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0004985, http://www.ebi.ac.uk/efo/EFO_0003756, http://purl.obolibrary.org/obo/MONDO_0005090, http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0005090; http://www.ebi.ac.uk/efo/EFO_0009863	23453885; 27922604; 29942085; 31268507; 31374203; 31740837; 32606422; 33686288; 33859377; 34159505; 35396580	GCST001877; GCST003880; GCST006478; GCST008459; GCST008595; GCST009337; GCST010640; GCST010645; GCST012354; GCST90016618; GCST90016620; GCST90020095; GCST90128471
